title,id,release_date,production_budget,domestic_gross,worldwide_gross,domestic_roi,worldwide_roi,movie_id,start_year,genres,count,release_year,release_month
The Best Exotic Marigold Hotel,55,"May 4, 2012",10000000,46383639,134639780,4.6383639,13.463978,tt1412386,2011,"['Comedy', 'Drama', 'Romance']",1,2012,May 
The Boy,68,"Jan 22, 2016",10000000,35819556,68220952,3.5819556,6.8220952,tt2443822,2015,"['Drama', 'Horror', 'Thriller']",1,2016,Jan 
The Brass Teapot,44,"Apr 5, 2013",900000,6997,413733,0.007774444444444444,0.45970333333333335,tt1935902,2012,"['Comedy', 'Fantasy', 'Thriller']",1,2013,Apr 
The Bronze,16,"Mar 18, 2016",3500000,615816,615816,0.17594742857142856,0.17594742857142856,tt3859304,2015,"['Comedy', 'Drama', 'Sport']",1,2016,Mar 
The Cabin in the Woods,11,"Apr 13, 2012",30000000,42073277,70689968,1.4024425666666667,2.3563322666666666,tt1259521,2011,['Horror'],1,2012,Apr 
The Circle,4,"Apr 28, 2017",18000000,20497844,40651864,1.1387691111111111,2.258436888888889,tt8680408,2016,['Drama'],1,2017,Apr 
The Comedian,35,"Feb 3, 2017",15000000,1658706,1658706,0.1105804,0.1105804,tt1967614,2016,['Comedy'],1,2017,Feb 
The Conspirator,80,"Apr 15, 2011",25000000,11538204,15907411,0.46152816,0.63629644,tt0968264,2010,"['Crime', 'Drama', 'History']",1,2011,Apr 
The Debt,65,"Aug 31, 2011",20000000,31177548,46604054,1.5588774,2.3302027,tt1226753,2010,"['Drama', 'Thriller']",1,2011,Aug 
The Divide,53,"Jan 13, 2012",3000000,18000,156362,0.006,0.05212066666666667,tt1535616,2011,"['Drama', 'Horror', 'Sci-Fi']",1,2012,Jan 
The Dressmaker,57,"Sep 23, 2016",11900000,2022115,24041617,0.16992563025210083,2.020303949579832,tt2910904,2015,"['Comedy', 'Drama']",1,2016,Sep 
The FP,12,"Mar 16, 2012",60000,0,0,0.0,0.0,tt1296373,2011,['Comedy'],1,2012,Mar 
The Face of Love,29,"Mar 7, 2014",4000000,385069,1158877,0.09626725,0.28971925,tt1839642,2013,"['Drama', 'Mystery', 'Romance']",1,2014,Mar 
The Face of an Angel,56,"Apr 24, 2015",26000000,0,0,0.0,0.0,tt2967008,2014,"['Crime', 'Drama']",1,2015,Apr 
The Fits,51,"Jun 3, 2016",170000,166425,169242,0.9789705882352941,0.9955411764705883,tt4238858,2015,"['Drama', 'Music']",1,2016,Jun 
The Founder,90,"Jan 20, 2017",15000000,12786053,24403192,0.8524035333333333,1.6268794666666666,tt4276820,2016,"['Biography', 'Drama', 'History']",1,2017,Jan 
The Front Man,57,"Apr 21, 2015",20000,0,0,0.0,0.0,tt2357398,2014,"['Biography', 'Comedy', 'Documentary']",1,2015,Apr 
The Gambler,25,"Dec 10, 2014",25000000,33680992,38718031,1.34723968,1.54872124,tt2843832,2013,['Documentary'],1,2014,Dec 
The Gatekeepers,78,"Feb 1, 2013",1500000,2408553,2592308,1.605702,1.7282053333333334,tt2309788,2012,"['Documentary', 'History', 'War']",1,2013,Feb 
The Grace Card,18,"Feb 25, 2011",200000,2430735,2430735,12.153675,12.153675,tt1544600,2010,['Drama'],1,2011,Feb 
The Great Wall,92,"Feb 17, 2017",150000000,45157105,334486852,0.30104736666666665,2.2299123466666666,tt2034800,2016,"['Action', 'Adventure', 'Fantasy']",1,2017,Feb 
The Grey,95,"Jan 27, 2012",25000000,51580136,81249176,2.06320544,3.24996704,tt1601913,2011,"['Action', 'Adventure', 'Drama']",1,2012,Jan 
The Iceman,81,"May 3, 2013",10000000,1930282,3623609,0.1930282,0.3623609,tt1491044,2012,"['Biography', 'Crime', 'Drama']",1,2013,May 
The Immigrant,72,"May 16, 2014",16000000,2013456,7585011,0.125841,0.4740631875,tt1951181,2013,"['Drama', 'Romance']",1,2014,May 
The Innkeepers,78,"Feb 3, 2012",750000,78396,1011535,0.104528,1.3487133333333334,tt1594562,2011,"['Drama', 'Horror', 'Mystery']",1,2012,Feb 
The Interview,33,"Feb 6, 2014",44000000,6105175,12342632,0.13875397727272729,0.2805143636363636,tt2533492,2013,"['Horror', 'Mystery', 'Thriller']",1,2014,Feb 
The Invitation,74,"Apr 8, 2016",1000000,231738,354836,0.231738,0.354836,tt2400463,2015,"['Drama', 'Horror', 'Mystery']",1,2016,Apr 
The Iron Lady,90,"Jan 13, 2012",14000000,29959436,115592104,2.1399597142857143,8.256578857142857,tt1007029,2011,"['Biography', 'Drama']",1,2012,Jan 
The Lady in the Van,47,"Jan 15, 2016",6000000,10021175,42320503,1.6701958333333333,7.053417166666667,tt3722070,2015,"['Biography', 'Comedy', 'Drama']",1,2016,Jan 
The Last Five Years,51,"Feb 13, 2015",2000000,147299,205298,0.0736495,0.102649,tt2474024,2014,"['Comedy', 'Drama', 'Musical']",1,2015,Feb 
The Last Godfather,41,"Apr 1, 2011",13400000,164247,164247,0.012257238805970148,0.012257238805970148,tt1584131,2010,"['Comedy', 'Crime', 'Romance']",1,2011,Apr 
The Little Prince,19,"Feb 12, 2016",77500000,1311213,102028919,0.016918877419354838,1.3165021806451613,tt5317732,2015,['Documentary'],1,2016,Feb 
The Lobster,32,"Mar 25, 2016",4500000,9196278,18019834,2.043617333333333,4.004407555555556,tt3464902,2015,"['Comedy', 'Drama', 'Romance']",1,2016,Mar 
The Lords of Salem,84,"Apr 19, 2013",1500000,1165881,1541131,0.777254,1.0274206666666668,tt1731697,2012,"['Horror', 'Thriller']",1,2013,Apr 
The Lost City of Z,82,"Apr 14, 2017",30000000,8574339,17121823,0.2858113,0.5707274333333333,tt1212428,2016,"['Adventure', 'Biography', 'Drama']",1,2017,Apr 
The Maid's Room,18,"Aug 8, 2014",600000,0,0,0.0,0.0,tt2263814,2013,['Thriller'],1,2014,Aug 
