primary_name,production_budget,domestic_gross,worldwide_gross,domestic_roi,worldwide_roi,averagerating,numvotes,count,total_production_budget,total_domestic_gross,total_worldwide_gross
Alexandre Espigares,14000000.0,34729091.0,34729091.0,2.480649357142857,2.480649357142857,7.0,2048.0,1,14000000,34729091,34729091
Alfonso Cuarón,110000000.0,274092705.0,693698673.0,2.4917518636363636,6.306351572727273,7.7,710018.0,1,110000000,274092705,693698673
Alfonso Gomez-Rejon,8000000.0,6758416.0,9266180.0,0.844802,1.1582725,7.8,112627.0,1,8000000,6758416,9266180
Ali Abbas Zafar,11000000.0,5599781.0,72989781.0,0.509071,6.6354346363636365,7.1,33371.0,1,11000000,5599781,72989781
Alister Grierson,30000000.0,23209310.0,108957098.0,0.7736436666666666,3.631903266666667,5.9,51318.0,1,30000000,23209310,108957098
Allen Coulter,16000000.0,19068240.0,56506120.0,1.191765,3.5316325,7.1,129443.0,1,16000000,19068240,56506120
Allen Hughes,57500000.0,57268111.5,96615431.0,0.8741643187500001,1.4847646776785715,6.550000000000001,171505.5,2,115000000,114536223,193230862
Anand Tucker,19000000.0,25918920.0,32618920.0,1.3641536842105264,1.7167852631578948,6.5,86125.0,1,19000000,25918920,32618920
Anastasiya Miroshnichenko,6250000.0,18594333.5,28500000.0,1.5495277916666668,2.375,8.7,15.0,2,12500000,37188667,57000000
Andrea Molaioli,1000000.0,1009819.0,1087521.0,1.009819,1.087521,6.2,883.0,1,1000000,1009819,1087521
Andrejs Ekis,200000.0,4505922.0,6618578.0,22.52961,33.09289,6.7,434.0,1,200000,4505922,6618578
Andrew Adamson,25000000.0,12512862.0,28012862.0,0.50051448,1.12051448,6.8,7643.0,1,25000000,12512862,28012862
Andrew Cohn,29000000.0,77339130.0,103008792.0,2.666866551724138,3.5520273103448274,7.2,112.0,1,29000000,77339130,103008792
Andrew Dominik,15000000.0,14945541.0,39238443.0,0.9963694,2.6158962,6.2,124086.0,1,15000000,14945541,39238443
Andrew Erwin,7000000.0,34410765.333333336,35133305.333333336,6.129711838827839,6.243047860805862,6.8999999999999995,8137.333333333333,3,21000000,103232296,105399916
Andrew Hyatt,2625000.0,8773999.5,12764749.0,1.7547999,2.5529498,5.550000000000001,3651.5,2,5250000,17547999,25529498
Andrew Jay Cohen,40000000.0,25584504.0,31192425.0,0.6396126,0.779810625,5.6,33365.0,1,40000000,25584504,31192425
Andrew Niccol,42500000.0,32088816.5,114790501.5,0.8027217528571429,3.0033983957142856,6.300000000000001,225855.0,2,85000000,64177633,229581003
Andrew Stanton,237500000.0,279677120.0,651996646.5,1.3485728643181818,3.0671799825,6.949999999999999,227667.0,2,475000000,559354240,1303993293
Andrew Tiernan,60000000.0,30063805.0,30063805.0,0.5010634166666667,0.5010634166666667,6.3,40.0,1,60000000,30063805,30063805
Andrey Bulahov,10000000.0,30564825.0,51723644.0,3.0564825,5.1723644,5.9,32.0,1,10000000,30564825,51723644
Andrijana Stojkovic,25000000.0,15051977.0,34356760.0,0.60207908,1.3742704,6.3,51.0,1,25000000,15051977,34356760
Andrius Blazevicius,90000000.0,61363304.0,169400000.0,0.6818144888888888,1.8822222222222222,6.4,516.0,1,90000000,61363304,169400000
André Moraes,50000000.0,81526121.0,161626121.0,1.63052242,3.23252242,5.0,74.0,1,50000000,81526121,161626121
Andy Fickman,27666666.666666668,58020314.333333336,87107324.66666667,2.0822086370175437,3.102718102280702,5.433333333333334,33743.0,3,83000000,174060943,261321974
Andy Muschietti,25000000.0,199554964.0,422776767.5,7.065916685714286,14.900204138095239,6.800000000000001,258805.0,2,50000000,399109928,845553535
Andy Tennant,45000000.0,67061228.0,135808837.0,1.4902495111111111,3.0179741555555557,5.6,112444.0,1,45000000,67061228,135808837
Ang Lee,120000000.0,124987022.0,620912003.0,1.0415585166666668,5.174266691666666,7.9,535836.0,1,120000000,124987022,620912003
Angel Manuel Soto,11000000.0,13110448.0,19947280.0,1.191858909090909,1.8133890909090908,9.0,13.0,1,11000000,13110448,19947280
Angelina Jolie,42500000.0,58088177.5,83627785.0,0.9029837692307693,1.3510999884615384,6.25,73093.5,2,85000000,116176355,167255570
Angelo Pizzo,20000000.0,2246000.0,2246000.0,0.1123,0.1123,7.2,5058.0,1,20000000,2246000,2246000
Angus Gibson,70000000.0,40934175.0,116625798.0,0.5847739285714286,1.6660828285714286,7.2,20.0,1,70000000,40934175,116625798
Angus MacLane,200000000.0,486295561.0,1021215193.0,2.431477805,5.106075965,7.3,213542.0,1,200000000,486295561,1021215193
